account_id,customer_id,account_type,status,open_date,balance
ACC200038,CUST100597,savings,closed,2023-11-21 15:25:49.064915,126658.72
ACC200039,CUST104641,savings,active,2021-09-15 11:05:00.930516,22264.76
ACC200040,CUST107550,loan,active,2020-05-28 11:12:50.072182,99287.96
ACC200041,CUST100721,current,active,2022-12-03 21:36:01.866718,105916.39
ACC200042,CUST104405,loan,active,2018-08-12 13:37:32.978959,95684.88
ACC200043,CUST102426,current,closed,2021-07-15 18:50:37.380925,36037.0
ACC200044,CUST101276,current,active,2026-04-02 17:02:48.184480,23211.56
ACC200045,CUST100833,current,active,2024-06-21 10:31:54.658424,10875.25
ACC200046,CUST105606,current,active,2019-12-24 23:30:54.846531,109783.61
ACC200047,CUST102069,savings,active,2025-09-30 13:47:05.221369,66711.48
ACC200048,CUST107247,savings,active,2025-05-15 21:56:12.030881,149898.21
ACC200049,CUST108847,savings,active,2019-05-08 11:51:12.882689,28795.92
ACC200050,CUST105095,current,active,2025-12-18 03:44:04.224846,34377.58
ACC200051,CUST102924,savings,active,2021-06-26 02:31:51.948246,32387.1
ACC200052,CUST102013,savings,active,2025-12-13 03:24:04.932956,56872.99
ACC200053,CUST106108,loan,active,2022-02-15 13:22:19.194988,22254.28
ACC200054,CUST107062,savings,active,2017-08-09 14:46:18.662229,39252.92
ACC200055,CUST101995,savings,active,2018-01-11 06:38:38.790595,65887.68
ACC200056,CUST103436,nri,active,2021-08-10 16:30:34.047536,78985.74
ACC200057,CUST102449,savings,active,2016-11-20 12:29:01.363289,71906.56
ACC200058,CUST107872,savings,active,2024-04-22 20:17:17.858751,21402.74
ACC200059,CUST103527,current,closed,2019-09-17 11:26:31.271644,73951.92
ACC200060,CUST106321,nri,active,2016-12-14 02:47:45.992117,51209.66
ACC200061,CUST109478,savings,active,2023-02-11 08:12:18.682162,126144.34
ACC200062,CUST102666,savings,active,2022-09-07 15:29:59.404144,156333.3
ACC200063,CUST102114,savings,active,2017-11-26 08:56:26.923781,150110.4
ACC200064,CUST103616,savings,active,2018-06-13 16:58:22.006903,54155.38
ACC200065,CUST106570,current,active,2024-01-22 18:48:28.907530,53638.62
ACC200066,CUST103882,nri,active,2018-02-23 18:12:49.328941,96792.62
ACC200067,CUST103723,current,active,2016-09-14 12:01:33.961328,30430.17
ACC200068,CUST108582,savings,active,2026-08-13 22:54:02.031525,84926.24
ACC200069,CUST101426,current,active,2019-07-15 16:25:20.604086,71596.83
ACC200070,CUST105957,current,active,2025-07-13 21:12:13.040255,155522.85
ACC200071,CUST105545,savings,active,2020-10-09 07:22:37.738422,64393.44
ACC200072,CUST104189,current,closed,2026-04-01 07:47:23.364017,81729.13
ACC200073,CUST103728,savings,closed,2020-12-05 22:12:03.450475,132802.9
ACC200074,CUST106522,current,active,2024-02-13 05:01:50.068974,65113.04
ACC200075,CUST108727,current,active,2026-04-11 18:33:15.798355,37424.85
ACC200076,CUST100753,savings,active,2019-06-17 00:52:10.940943,97635.05
ACC200077,CUST109257,current,closed,2016-12-08 06:09:50.013690,26890.72
ACC200078,CUST100118,savings,active,2021-02-12 07:00:11.132802,77397.21
ACC200079,CUST105701,savings,active,2024-03-27 21:35:43.044243,39603.47
ACC200080,CUST103968,savings,dormant,2022-04-08 18:59:50.555698,14502.18
ACC200081,CUST102934,nri,active,2024-12-22 12:06:28.002254,93024.73
ACC200082,CUST108017,savings,blocked,2019-04-21 03:19:18.041962,72668.0
ACC200083,CUST105318,current,active,2017-04-26 14:56:04.126613,165130.4
ACC200084,CUST102200,savings,active,2018-11-05 05:58:44.294114,17687.96
ACC200085,CUST108850,savings,active,2018-12-03 18:28:29.412651,33712.6
ACC200086,CUST103411,savings,closed,2019-12-27 00:40:06.961503,145722.25
ACC200087,CUST106747,savings,active,2019-10-02 10:50:08.526179,158626.7
ACC200088,CUST101396,current,active,2018-12-23 17:35:11.417407,107736.72
ACC200089,CUST100867,savings,active,2017-11-09 01:38:22.118126,60584.05
ACC200090,CUST105991,current,active,2021-11-06 01:51:56.314249,127434.43
ACC200091,CUST100644,current,active,2023-09-28 01:13:58.864314,51007.53
ACC200092,CUST109487,savings,active,2025-09-14 20:28:54.362746,4281.26
ACC200093,CUST101546,savings,active,2019-05-24 04:13:43.621127,154932.97
ACC200094,CUST105026,savings,active,2023-03-26 15:48:52.424533,47983.37
ACC200095,CUST105661,current,active,2021-11-26 22:57:56.043372,284713.99
ACC200096,CUST108507,current,active,2025-06-17 18:10:58.058078,23782.32
ACC200097,CUST101678,current,active,2023-07-30 12:04:10.453468,150139.43
ACC200098,CUST109290,savings,closed,2018-06-19 20:46:10.989704,78338.8
ACC200099,CUST102541,current,active,2019-04-19 18:32:44.054318,135758.14
ACC200100,CUST109629,current,active,2022-11-15 05:49:18.538260,36781.77
ACC200101,CUST105281,savings,closed,2024-02-20 01:24:29.228696,254440.82
ACC200102,CUST102691,savings,closed,2017-06-04 20:39:08.445776,219928.38
ACC200103,CUST105661,savings,active,2023-02-03 00:55:11.745322,49159.74
ACC200104,CUST107556,current,active,2018-05-05 04:14:48.028394,53422.46
ACC200105,CUST108247,current,closed,2026-01-19 00:06:21.306488,81400.42
ACC200106,CUST102778,savings,closed,2026-04-04 21:24:37.257172,31263.57
ACC200107,CUST104368,current,active,2025-03-19 18:55:08.157640,35978.28
ACC200108,CUST105051,loan,active,2025-03-24 15:33:56.240145,139779.63
ACC200109,CUST107778,savings,active,2026-03-26 08:29:53.882068,4336.69
ACC200110,CUST106920,savings,blocked,2019-06-30 17:09:06.235834,32241.14
ACC200111,CUST100795,savings,active,2021-11-08 22:18:51.911616,192151.17
ACC200112,CUST100524,current,closed,2017-12-23 01:54:30.633107,172600.67
ACC200113,CUST105421,savings,active,2021-03-11 18:38:51.643628,62039.06
ACC200114,CUST108010,loan,active,2017-09-07 11:12:42.948042,12042.58
ACC200115,CUST104295,savings,active,2023-07-18 02:49:56.037883,163945.48
ACC200116,CUST102705,current,active,2017-05-24 19:13:42.005954,44342.41
ACC200117,CUST109246,current,active,2025-03-21 02:59:41.946938,121172.26
ACC200118,CUST102589,savings,closed,2025-02-19 23:30:24.857205,98652.12
ACC200119,CUST107202,current,active,2026-04-11 16:24:10.781814,121018.54
ACC200120,CUST101433,current,active,2016-11-29 06:07:51.166168,108184.41
ACC200121,CUST106915,savings,blocked,2024-10-22 20:18:14.714779,113493.53
ACC200122,CUST104590,savings,active,2019-07-25 10:08:03.399241,80185.59
ACC200123,CUST109048,loan,closed,2018-08-05 23:31:53.989709,112502.34
ACC200124,CUST105723,nri,active,2024-02-17 18:33:36.048065,99806.13
ACC200125,CUST102477,savings,active,2017-11-02 15:16:48.386479,56479.65
ACC200126,CUST105066,savings,active,2025-05-19 06:37:25.008961,2741.59
ACC200127,CUST107578,savings,dormant,2025-05-17 13:51:48.424395,30002.84
ACC200128,CUST104088,savings,active,2022-03-10 11:27:48.844525,10969.96
ACC200129,CUST108661,current,active,2020-11-09 20:38:36.686602,100828.14
ACC200130,CUST108484,current,dormant,2025-07-08 03:43:32.617333,40784.28
ACC200131,CUST109927,current,active,2023-10-01 14:21:23.239293,21557.44
ACC200132,CUST105244,loan,active,2016-12-17 07:42:39.625610,44115.21
ACC200133,CUST104290,savings,active,2020-10-01 19:28:24.773164,46199.31
ACC200134,CUST103458,savings,active,2020-12-05 13:06:54.811557,58709.9
ACC200135,CUST106659,savings,active,2025-03-08 15:23:11.261801,84037.55
ACC200136,CUST105410,current,active,2025-06-13 14:59:20.867141,71596.08
ACC200137,CUST101884,current,active,2022-01-24 06:56:43.021092,89442.68
ACC200138,CUST109186,loan,active,2017-10-05 04:57:49.359763,98923.62
ACC200139,CUST999180,savings,active,2022-09-20 02:05:01.475714,5628.19
ACC200140,CUST104284,loan,active,2021-03-27 06:20:49.854698,223243.33
ACC200141,CUST104455,savings,closed,2020-11-10 13:16:08.723199,85944.28
ACC200142,CUST103093,savings,active,2026-06-18 20:33:54.453068,227605.13
ACC200143,CUST101378,current,active,2026-07-30 18:51:15.251787,34569.08
ACC200144,CUST100716,savings,active,2020-09-22 23:40:29.574407,390029.9
ACC200145,CUST109177,current,active,2025-12-19 13:14:45.858747,36434.16
ACC200146,CUST107490,savings,active,2019-01-30 14:01:55.124424,26996.57
ACC200147,CUST109019,savings,active,2018-07-28 06:54:34.476754,36517.32
ACC200148,CUST107040,savings,active,2023-03-12 18:13:09.355764,34850.9
ACC200149,CUST109585,nri,active,2021-08-20 04:39:20.700773,32579.41
ACC200150,CUST109005,current,dormant,2024-01-31 07:45:11.691069,44540.19
ACC200151,CUST101801,savings,active,2017-09-26 12:39:37.820991,73151.27
ACC200152,CUST105151,nri,active,2021-06-15 09:45:04.523632,32431.05
ACC200153,CUST100188,savings,active,2023-06-12 01:41:17.223243,73321.19
ACC200154,CUST100138,savings,active,2021-08-22 09:36:34.127803,49643.96
ACC200155,CUST107427,current,active,2019-07-01 15:54:38.875960,13314.78
ACC200156,CUST104766,savings,active,2021-08-21 11:06:54.910823,67966.68
ACC200157,CUST102707,savings,active,2022-06-25 05:14:27.969141,7595.55
ACC200158,CUST104565,loan,active,2022-02-18 01:14:17.168661,30602.99
ACC200159,CUST106287,savings,active,2022-04-15 15:58:40.704346,36072.69
ACC200160,CUST108199,savings,blocked,2021-01-21 23:09:05.718123,100147.59
ACC200161,CUST105337,savings,closed,2019-12-11 12:35:23.692530,161641.0
ACC200162,CUST104963,savings,active,2017-05-05 16:08:39.820373,24098.93
ACC200163,CUST105783,current,active,2017-02-07 09:35:59.774608,6794.27
ACC200164,CUST101409,nri,active,2021-12-19 17:54:48.110669,50134.19
ACC200165,CUST104960,current,active,2025-03-18 05:44:24.230856,51416.68
ACC200166,CUST103012,savings,active,2024-06-24 19:01:20.947891,112958.79
ACC200167,CUST100102,savings,dormant,2021-12-28 15:28:09.962483,252393.53
ACC200168,CUST106901,savings,dormant,2023-01-08 23:25:30.387000,69940.54
ACC200169,CUST102672,current,active,2026-05-21 03:39:24.510274,243176.81
ACC200170,CUST106516,current,active,2026-04-17 13:51:53.834925,44260.99
ACC200171,CUST109221,savings,active,2026-07-27 01:34:17.474516,120694.26
ACC200172,CUST100125,savings,active,2016-10-21 02:22:13.485113,48328.53
ACC200173,CUST104227,savings,active,2022-12-27 23:31:54.295166,163102.19
ACC200174,CUST102873,current,active,2024-01-28 18:54:43.780791,24128.84
ACC200175,CUST103168,current,active,2017-09-01 16:46:27.362460,94809.69
ACC200176,CUST109759,savings,active,2020-04-06 23:57:16.813271,123610.71
ACC200177,CUST100238,current,active,2018-04-15 20:39:34.935381,36460.76
ACC200178,CUST105662,savings,active,2020-06-23 23:04:44.856074,101197.64
ACC200179,CUST103711,current,active,2021-01-16 04:41:24.111894,20906.46
ACC200180,CUST100915,savings,dormant,2018-06-03 03:42:38.004417,198152.75
ACC200181,CUST102222,savings,active,2021-08-04 05:26:17.261884,70977.41
ACC200182,CUST101643,savings,closed,2018-07-06 17:43:29.884952,58140.34
ACC200183,CUST105208,current,active,2025-11-04 18:08:53.774391,126515.35
ACC200184,CUST102063,nri,active,2018-05-01 17:48:54.896793,99216.41
ACC200185,CUST106924,savings,active,2021-10-03 05:47:37.410315,54846.78
ACC200186,CUST101757,savings,active,2020-01-28 22:34:40.575626,155156.99
ACC200187,CUST100613,loan,active,2020-11-09 21:55:49.411835,20545.5
ACC200188,CUST107228,loan,active,2020-07-11 06:36:22.280838,105016.46
ACC200189,CUST107119,savings,active,2026-05-29 05:07:36.047878,12522.15
ACC200190,CUST102360,current,active,2023-04-06 20:57:43.727007,26790.78
ACC200191,CUST100225,savings,active,2017-02-15 14:25:23.106820,105548.15
ACC200192,CUST104097,current,active,2024-12-21 21:09:49.838984,32580.34
ACC200193,CUST106836,current,active,2022-01-31 02:29:40.932485,128566.81
ACC200194,CUST100614,current,active,2017-10-20 16:41:08.567809,158810.67
ACC200195,CUST101546,savings,active,2021-05-06 23:43:38.337256,66930.87
ACC200196,CUST105889,savings,active,2017-12-21 14:27:59.097362,173353.49
ACC200197,CUST103481,savings,active,2022-03-16 02:50:23.952549,49557.23
ACC200198,CUST108900,savings,active,2020-05-04 06:07:04.213252,158120.87
ACC200199,CUST101228,loan,active,2017-04-22 12:09:08.920903,85613.96
ACC200200,CUST107405,savings,dormant,2023-03-01 05:26:30.787006,98075.25
ACC200201,CUST105543,savings,active,2018-12-20 18:42:25.141704,66000.87
ACC200202,CUST102735,current,closed,2024-04-15 09:49:58.877279,82134.02
ACC200203,CUST107917,savings,active,2025-08-29 09:35:06.093693,43612.72
ACC200204,CUST102396,savings,active,2019-01-23 20:00:32.436529,255261.72
ACC200205,CUST105603,savings,blocked,2019-09-10 19:23:23.758178,67708.45
ACC200206,CUST104508,loan,active,2017-02-07 18:45:08.125155,3929.51
ACC200207,CUST109032,nri,closed,2021-06-12 02:55:01.015542,37679.69
ACC200208,CUST101082,savings,active,2025-01-09 20:08:57.796185,104285.64
ACC200209,CUST100320,savings,active,2017-09-27 13:18:23.797974,74534.73
ACC200210,CUST106410,current,blocked,2018-04-25 10:14:09.921752,106831.8
ACC200211,CUST103572,current,closed,2024-01-27 01:54:01.897926,124826.16
ACC200212,CUST109891,savings,closed,2023-01-03 21:42:02.520323,336674.87
ACC200213,CUST103797,savings,closed,2018-08-18 13:53:34.652208,113874.29
ACC200214,CUST104669,savings,active,2018-05-08 04:37:19.265332,97640.34
ACC200215,CUST103191,savings,active,2017-05-05 20:55:54.952812,107721.53
ACC200216,CUST105443,savings,active,2016-10-25 07:38:07.015416,172773.02
ACC200217,CUST104209,savings,active,2020-11-09 08:21:50.917099,89377.43
ACC200218,CUST100513,savings,active,2017-09-19 03:23:29.450533,83917.06
ACC200219,CUST105715,savings,active,2019-07-22 17:01:11.543714,102194.08
ACC200220,CUST104664,savings,dormant,2025-05-12 11:23:25.808589,42867.57
ACC200221,CUST101939,savings,active,2017-02-17 21:07:08.094146,151896.63
ACC200222,CUST104493,savings,active,2024-08-04 05:46:17.750416,80464.85
ACC200223,CUST102005,savings,active,2020-06-13 00:31:40.744157,95114.74
ACC200224,CUST100729,savings,active,2020-10-01 07:45:55.428914,14134.01
ACC200225,CUST101417,current,closed,2026-05-07 08:47:29.351476,22699.58
ACC200226,CUST107873,current,active,2022-04-25 02:32:26.722410,170911.99
ACC200227,CUST102974,loan,active,2017-01-02 12:54:33.686732,15230.91
ACC200228,CUST104785,loan,active,2024-07-24 12:02:37.474998,91659.29
ACC200229,CUST106450,savings,closed,2022-03-05 05:50:36.847258,76303.91
ACC200230,CUST106115,loan,closed,2024-05-24 09:41:38.044519,40779.68
ACC200231,CUST105146,loan,active,2018-02-24 04:18:39.128126,80695.87
ACC200232,CUST103036,savings,active,2019-04-05 21:05:44.198673,36473.89
ACC200233,CUST102872,savings,active,2025-09-22 20:58:42.212689,50084.7
ACC200234,CUST104417,savings,active,2020-12-05 20:52:29.275471,65932.97
ACC200235,CUST109598,loan,active,2021-09-26 11:00:03.808392,272871.14
ACC200236,CUST103854,savings,closed,2023-01-22 04:53:02.591329,56254.76
ACC200237,CUST106335,savings,active,2021-11-29 15:06:41.118792,130233.18
ACC200238,CUST103199,current,active,2024-02-18 00:17:05.814123,373692.54
ACC200239,CUST102695,loan,active,2018-11-13 10:59:55.341794,175122.64
ACC200240,CUST106397,current,active,2025-10-30 11:01:05.999525,18277.66
ACC200241,CUST100459,savings,active,2017-03-05 16:09:52.679334,31886.96
ACC200242,CUST103033,savings,closed,2021-08-16 16:16:51.809838,172888.28
ACC200243,CUST102353,current,active,2026-08-06 10:39:08.439326,6156.58
ACC200244,CUST101291,current,active,2023-03-20 06:52:08.928655,15772.06
ACC200245,CUST104880,savings,active,2021-06-14 12:29:52.718570,172115.89
ACC200246,CUST101965,current,active,2026-02-23 00:14:29.914412,107751.26
ACC200247,CUST102061,savings,active,2017-06-02 06:16:30.582999,5415.24
ACC200248,CUST106239,savings,active,2020-11-08 13:50:41.437070,42508.27
ACC200249,CUST103234,savings,active,2025-08-28 11:08:10.538948,76227.16
ACC200250,CUST107039,nri,dormant,2023-06-06 11:51:14.076664,52594.1
ACC200251,CUST109883,savings,active,2020-04-25 22:48:01.542819,121686.69
ACC200252,CUST104440,savings,closed,2026-05-25 04:30:59.355063,170003.72
ACC200253,CUST109356,savings,active,2024-03-20 01:19:18.227217,55959.94
ACC200254,CUST102859,nri,closed,2026-05-24 07:46:15.003730,24948.06
ACC200255,CUST105096,nri,active,2022-06-19 12:23:28.606215,36059.29
ACC200256,CUST104846,current,blocked,2016-09-20 19:21:01.816278,101463.18
ACC200257,CUST108378,savings,active,2026-05-04 17:20:22.843394,161396.82
ACC200258,CUST102998,current,active,2024-11-11 17:41:20.707339,70316.36
ACC200259,CUST102803,current,dormant,2022-02-17 19:50:05.329829,196016.66
ACC200260,CUST104859,savings,dormant,2018-03-31 10:45:38.183396,76093.78
ACC200261,CUST107458,savings,active,2025-06-07 00:27:02.861392,18015.54
ACC200262,CUST109187,savings,active,2023-01-01 03:44:39.509874,88589.56
ACC200263,CUST108955,savings,active,2016-09-02 01:24:32.721071,266929.98
ACC200264,CUST100303,savings,active,2021-07-26 19:48:16.308534,96982.53
ACC200265,CUST108331,savings,active,2026-06-11 13:07:14.047593,129103.57
ACC200266,CUST102712,current,active,2022-06-27 23:12:56.576118,15642.71
ACC200267,CUST106328,current,active,2023-09-25 14:28:25.689792,90838.6
ACC200268,CUST107533,loan,active,2023-03-17 14:13:01.534275,52196.65
ACC200269,CUST108279,savings,active,2021-10-25 19:16:32.919105,105134.51
ACC200270,CUST102560,savings,active,2023-07-19 15:57:31.118008,26539.21
ACC200271,CUST100070,savings,active,2018-08-05 13:27:06.761264,235983.79
ACC200272,CUST108812,current,blocked,2020-01-05 17:47:13.320018,99860.55
ACC200273,CUST103855,savings,active,2025-07-07 22:46:10.466286,102815.0
ACC200274,CUST107517,loan,closed,2019-05-02 14:21:44.983001,185199.86
ACC200275,CUST107687,savings,blocked,2020-10-19 01:01:32.293957,99062.82
ACC200276,CUST106445,current,active,2017-09-02 19:48:21.702029,18191.57
ACC200277,CUST104067,savings,active,2025-12-04 15:13:02.293078,10280.45
ACC200278,CUST101072,savings,active,2019-04-30 16:21:37.123977,325595.93
ACC200279,CUST101868,current,active,2022-06-09 14:53:18.805042,98988.8
ACC200280,CUST106334,savings,active,2020-08-14 12:32:58.354652,67505.28
ACC200281,CUST107741,savings,active,2020-02-06 19:18:43.573694,61527.19
ACC200282,CUST104957,current,dormant,2018-04-27 02:05:07.326852,42306.04
ACC200283,CUST106104,savings,active,2026-07-31 12:12:11.287571,106634.03
ACC200284,CUST104429,current,active,2019-07-12 02:11:12.218252,80328.94
ACC200285,CUST105241,current,active,2020-08-05 23:32:27.870287,66642.66
ACC200286,CUST109302,nri,active,2018-07-25 11:57:24.307410,32900.99
ACC200287,CUST103388,current,active,2022-11-26 12:18:59.006997,82512.75
ACC200288,CUST108937,savings,active,2017-07-02 02:19:09.110083,67192.32
ACC200289,CUST100974,current,active,2023-04-04 10:23:31.084214,114158.61
ACC200290,CUST100224,current,active,2021-08-29 18:04:41.768066,51767.1
ACC200291,CUST108636,savings,active,2023-02-07 02:00:05.469263,40383.98
ACC200292,CUST105232,current,active,2016-09-08 02:10:42.045904,42177.21
ACC200293,CUST102006,savings,active,2023-05-12 20:27:36.171072,30038.62
ACC200294,CUST100333,current,active,2017-02-04 11:55:06.785036,15918.64
ACC200295,CUST106344,savings,active,2025-10-18 06:44:38.510560,58529.56
ACC200296,CUST104205,savings,active,2024-07-23 00:42:10.077068,22079.32
ACC200297,CUST102937,savings,active,2017-11-16 15:01:59.989592,182031.93
ACC200298,CUST109899,savings,active,2022-03-11 13:55:19.638837,119038.77
ACC200299,CUST102299,nri,closed,2026-03-10 18:06:07.783228,42360.73
ACC200300,CUST108768,current,active,2019-01-23 08:29:35.137195,95680.32
ACC200301,CUST104468,savings,active,2017-05-13 22:44:50.860820,121331.91
ACC200302,CUST101971,savings,active,2020-11-09 02:43:51.165929,53695.08
ACC200303,CUST107323,loan,active,2018-01-07 18:25:58.637226,40524.22
ACC200304,CUST108430,current,closed,2024-05-26 03:41:21.092455,5265.5
ACC200305,CUST102305,savings,active,2025-09-28 18:48:19.643111,136708.91
ACC200306,CUST105749,savings,active,2021-02-15 19:35:38.470375,41750.91
ACC200307,CUST100927,savings,active,2026-08-07 09:01:42.226215,131547.01
ACC200308,CUST106531,savings,active,2018-07-15 20:39:51.424719,71953.36
ACC200309,CUST999843,savings,active,2025-10-19 06:47:19.589191,83373.46
ACC200310,CUST108410,current,blocked,2019-11-14 02:04:15.644234,42611.18
ACC200311,CUST105480,savings,active,2025-08-22 09:05:48.761784,79995.3
ACC200312,CUST102467,savings,active,2025-08-31 19:39:27.824536,77200.61
ACC200313,CUST106566,loan,active,2020-02-14 15:18:25.247096,22777.99
ACC200314,CUST103784,savings,active,2016-11-03 22:20:17.187173,31511.18
ACC200315,CUST104509,savings,active,2019-08-30 01:36:43.941212,57107.11
ACC200316,CUST106072,savings,dormant,2020-12-29 10:27:34.708936,216067.18
ACC200317,CUST103872,savings,active,2026-06-16 23:32:07.242610,19102.62
ACC200318,CUST102238,current,blocked,2023-07-11 00:25:47.558318,12312.07
ACC200319,CUST101526,current,active,2022-12-23 00:31:17.844804,28265.03
ACC200320,CUST109620,savings,active,2023-01-29 16:22:37.155668,182823.75
ACC200321,CUST103002,savings,active,2020-08-05 09:08:05.865945,11433.51
ACC200322,CUST108258,savings,active,2023-07-10 16:38:26.901043,76709.29
ACC200323,CUST102484,loan,active,2019-06-07 09:37:17.243038,19425.53
ACC200324,CUST107185,savings,active,2024-02-24 03:00:36.660166,70155.94
ACC200325,CUST101324,current,active,2023-02-22 22:43:56.513758,166127.53
ACC200326,CUST102489,loan,active,2024-02-02 08:13:27.568808,63776.54
ACC200327,CUST109548,savings,blocked,2018-02-24 16:48:27.280808,134630.61
ACC200328,CUST109118,current,closed,2022-02-25 01:59:21.684390,49920.14
ACC200329,CUST101834,current,active,2018-07-21 19:39:56.228131,19069.56
ACC200330,CUST104997,savings,active,2019-10-02 17:31:50.759281,188256.54
ACC200331,CUST105720,nri,active,2024-07-17 10:54:10.846934,103373.34
ACC200332,CUST108630,current,active,2020-10-21 08:20:24.234683,95951.87
ACC200333,CUST104029,savings,active,2017-02-19 15:58:10.968713,63454.05
ACC200334,CUST108839,current,active,2025-07-17 10:48:17.219306,133571.89
ACC200335,CUST105479,savings,active,2017-09-17 05:20:31.915273,69179.98
ACC200336,CUST102972,savings,active,2021-08-08 15:12:21.059139,16039.21
ACC200337,CUST105848,loan,active,2021-05-20 15:34:35.749890,61588.07
ACC200338,CUST100834,current,active,2020-08-15 18:36:35.439715,121627.75
ACC200339,CUST105201,savings,active,2016-09-09 21:35:49.236157,100499.36
ACC200340,CUST100788,loan,active,2019-03-06 09:22:34.527537,14953.26
ACC200341,CUST103298,savings,active,2018-03-12 01:31:13.870539,13075.21
ACC200342,CUST107075,savings,active,2018-04-10 06:25:22.615936,80608.06
ACC200343,CUST103406,savings,active,2017-11-25 18:06:50.927503,67669.72
ACC200344,CUST109910,loan,active,2024-11-11 15:44:59.568955,45387.04
ACC200345,CUST101704,savings,dormant,2017-08-24 23:13:57.678154,154324.62
ACC200346,CUST108941,savings,active,2019-12-18 20:52:00.043276,70463.58
ACC200347,CUST104132,savings,active,2022-06-05 11:38:06.579408,82019.56
ACC200348,CUST106509,current,active,2017-01-18 01:07:05.273069,24739.31
ACC200349,CUST103620,savings,active,2021-11-17 17:32:59.911865,102552.62
ACC200350,CUST104971,loan,active,2021-04-08 13:43:13.707342,59537.76
ACC200351,CUST109924,savings,active,2025-03-15 17:28:44.483328,36372.17
ACC200352,CUST101924,savings,active,2017-10-19 02:10:04.645042,102700.13
ACC200353,CUST100933,nri,active,2017-03-23 02:10:09.927408,150210.32
ACC200354,CUST105515,savings,active,2018-02-09 07:42:35.985535,40360.3
ACC200355,CUST105777,loan,active,2021-05-24 01:15:28.914387,95734.97
ACC200356,CUST108793,current,active,2017-09-08 15:36:05.969880,49772.68
ACC200357,CUST109895,current,active,2022-10-14 07:23:20.286898,84839.61
ACC200358,CUST105871,savings,active,2024-07-23 00:15:29.744855,17028.25
ACC200359,CUST109277,savings,blocked,2022-03-08 19:09:19.517203,17776.02
ACC200360,CUST100948,savings,active,2020-03-20 12:03:19.420343,87620.79
ACC200361,CUST106936,savings,closed,2021-02-05 03:28:43.953920,35086.11
ACC200362,CUST105292,current,blocked,2019-01-22 17:09:56.044780,100616.37
ACC200363,CUST103969,savings,active,2025-02-21 19:56:08.204686,70683.45
ACC200364,CUST108512,savings,active,2019-11-14 05:19:37.002111,26813.86
ACC200365,CUST107271,savings,dormant,2025-03-17 16:55:36.765154,63662.8
ACC200366,CUST100696,savings,active,2026-04-12 17:33:04.606644,57794.56
